step,input,v,v_th_eff,spike
316,1.3,1.29991,1.36994,0
317,1.3,1.29992,1.36871,0
318,1.3,1.29992,1.36749,0
319,1.3,1.29992,1.36626,0
320,1.3,1.29993,1.36504,0
321,1.3,1.29993,1.36383,0
322,1.3,1.29993,1.36262,0
323,1.3,1.29994,1.36141,0
324,1.3,1.29994,1.36021,0
325,1.3,1.29994,1.35901,0
326,1.3,1.29995,1.35782,0
327,1.3,1.29995,1.35662,0
328,1.3,1.29995,1.35544,0
329,1.3,1.29995,1.35425,0
330,1.3,1.29996,1.35308,0
331,1.3,1.29996,1.3519,0
332,1.3,1.29996,1.35073,0
333,1.3,1.29996,1.34956,0
334,1.3,1.29996,1.3484,0
335,1.3,1.29997,1.34724,0
336,1.3,1.29997,1.34608,0
337,1.3,1.29997,1.34493,0
338,1.3,1.29997,1.34378,0
339,1.3,1.29997,1.34264,0
340,1.3,1.29997,1.3415,0
341,1.3,1.29997,1.34036,0
342,1.3,1.29998,1.33923,0
343,1.3,1.29998,1.3381,0
344,1.3,1.29998,1.33698,0
345,1.3,1.29998,1.33586,0
346,1.3,1.29998,1.33474,0
347,1.3,1.29998,1.33362,0
348,1.3,1.29998,1.33251,0
349,1.3,1.29998,1.33141,0
350,1.3,1.29998,1.3303,0
351,1.3,1.29998,1.32921,0
352,1.3,1.29999,1.32811,0
353,1.3,1.29999,1.32702,0
354,1.3,1.29999,1.32593,0
355,1.3,1.29999,1.32485,0
356,1.3,1.29999,1.32376,0
357,1.3,1.29999,1.32269,0
358,1.3,1.29999,1.32161,0
359,1.3,1.29999,1.32054,0
360,1.3,1.29999,1.31948,0
361,1.3,1.29999,1.31841,0
362,1.3,1.29999,1.31735,0
363,1.3,1.29999,1.3163,0
364,1.3,1.29999,1.31524,0
365,1.3,1.29999,1.3142,0
366,1.3,1.29999,1.31315,0
367,1.3,1.29999,1.31211,0
368,1.3,1.29999,1.31107,0
369,1.3,1.29999,1.31003,0
370,1.3,1.29999,1.309,0
371,1.3,1.29999,1.30797,0
372,1.3,1.29999,1.30695,0
373,1.3,1.29999,1.30593,0
374,1.3,1.3,1.30491,0
375,1.3,1.3,1.30389,0
376,1.3,1.3,1.30288,0
377,1.3,1.3,1.30188,0
378,1.3,1.3,1.30087,0
379,1.3,0.299996,1.29987,1000
380,1.3,0.348767,1.69821,0
381,1.3,0.395159,1.69588,0
382,1.3,0.439289,1.69357,0
383,1.3,0.481266,1.69126,0
384,1.3,0.521196,1.68896,0
385,1.3,0.559179,1.68667,0
386,1.3,0.595309,1.68438,0
387,1.3,0.629678,1.6821,0
388,1.3,0.66237,1.67983,0
389,1.3,0.693467,1.67757,0
390,1.3,0.723048,1.67532,0
391,1.3,0.751186,1.67307,0
392,1.3,0.777952,1.67083,0
393,1.3,0.803413,1.6686,0
394,1.3,0.827632,1.66637,0
395,1.3,0.850669,1.66415,0
396,1.3,0.872584,1.66194,0
397,1.3,0.893429,1.65974,0
398,1.3,0.913258,1.65755,0
399,1.3,0.932119,1.65536,0
400,1.3,0.950061,1.65318,0
401,1.3,0.967128,1.651,0
402,1.3,0.983362,1.64884,0
403,1.3,0.998805,1.64668,0
404,1.3,1.01349,1.64453,0
405,1.3,1.02747,1.64238,0
406,1.3,1.04076,1.64024,0
407,1.3,1.0534,1.63811,0
408,1.3,1.06543,1.63599,0
409,1.3,1.07687,1.63387,0
410,1.3,1.08775,1.63176,0
411,1.3,1.0981,1.62966,0
412,1.3,1.10795,1.62757,0
413,1.3,1.11732,1.62548,0
414,1.3,1.12623,1.6234,0
415,1.3,1.1347,1.62132,0
416,1.3,1.14276,1.61925,0
417,1.3,1.15043,1.61719,0
418,1.3,1.15773,1.61514,0
419,1.3,1.16466,1.61309,0
420,1.3,1.17126,1.61105,0
421,1.3,1.17754,1.60902,0
422,1.3,1.18352,1.60699,0
423,1.3,1.1892,1.60497,0
424,1.3,1.1946,1.60296,0
425,1.3,1.19974,1.60095,0
426,1.3,1.20463,1.59895,0
427,1.3,1.20928,1.59696,0
428,1.3,1.21371,1.59497,0
429,1.3,1.21791,1.59299,0
430,1.3,1.22192,1.59102,0
431,1.3,1.22573,1.58905,0
432,1.3,1.22935,1.58709,0
433,1.3,1.23279,1.58514,0
434,1.3,1.23607,1.58319,0
435,1.3,1.23919,1.58125,0
436,1.3,1.24216,1.57932,0
437,1.3,1.24498,1.57739,0
438,1.3,1.24766,1.57547,0
439,1.3,1.25021,1.57355,0
440,1.3,1.25264,1.57164,0
441,1.3,1.25495,1.56974,0
442,1.3,1.25715,1.56784,0
443,1.3,1.25924,1.56596,0
444,1.3,1.26123,1.56407,0
445,1.3,1.26312,1.56219,0
446,1.3,1.26492,1.56032,0
447,1.3,1.26663,1.55846,0
448,1.3,1.26825,1.5566,0
449,1.3,1.2698,1.55475,0
450,1.3,1.27128,1.5529,0
451,1.3,1.27268,1.55106,0
452,1.3,1.27401,1.54923,0
453,1.3,1.27528,1.5474,0
454,1.3,1.27648,1.54558,0
455,1.3,1.27763,1.54376,0
456,1.3,1.27872,1.54195,0
457,1.3,1.27976,1.54015,0
458,1.3,1.28075,1.53835,0
459,1.3,1.28168,1.53656,0
460,1.3,1.28258,1.53478,0
461,1.3,1.28343,1.533,0
462,1.3,1.28424,1.53122,0
463,1.3,1.285,1.52945,0
464,1.3,1.28574,1.52769,0
465,1.3,1.28643,1.52594,0
466,1.3,1.28709,1.52419,0
467,1.3,1.28772,1.52244,0
468,1.3,1.28832,1.5207,0
469,1.3,1.28889,1.51897,0
470,1.3,1.28943,1.51724,0
471,1.3,1.28995,1.51552,0
472,1.3,1.29044,1.51381,0
473,1.3,1.2909,1.5121,0
474,1.3,1.29135,1.51039,0
475,1.3,1.29177,1.50869,0
476,1.3,1.29217,1.507,0
477,1.3,1.29255,1.50531,0
478,1.3,1.29292,1.50363,0
479,1.3,1.29326,1.50196,0
480,1.3,1.29359,1.50029,0
481,1.3,1.2939,1.49862,0
482,1.3,1.2942,1.49696,0
483,1.3,1.29448,1.49531,0
484,1.3,1.29475,1.49366,0
485,1.3,1.29501,1.49202,0
486,1.3,1.29525,1.49038,0
487,1.3,1.29548,1.48875,0
488,1.3,1.2957,1.48712,0
489,1.3,1.29591,1.4855,0
490,1.3,1.29611,1.48389,0
491,1.3,1.2963,1.48228,0
492,1.3,1.29648,1.48067,0
493,1.3,1.29665,1.47907,0
494,1.3,1.29682,1.47748,0
495,1.3,1.29697,1.47589,0
496,1.3,1.29712,1.4743,0
497,1.3,1.29726,1.47273,0
498,1.3,1.29739,1.47115,0
499,1.3,1.29752,1.46958,0
500,1.3,1.29764,1.46802,0
501,1.3,1.29776,1.46646,0
502,1.3,1.29787,1.46491,0
503,1.3,1.29797,1.46336,0
504,1.3,1.29807,1.46182,0
505,1.3,1.29816,1.46029,0
506,1.3,1.29825,1.45875,0
507,1.3,1.29834,1.45723,0
508,1.3,1.29842,1.45571,0
509,1.3,1.2985,1.45419,0
510,1.3,1.29857,1.45268,0
511,1.3,1.29864,1.45117,0
512,1.3,1.29871,1.44967,0
513,1.3,1.29877,1.44817,0
514,1.3,1.29883,1.44668,0
515,1.3,1.29889,1.4452,0
516,1.3,1.29894,1.44371,0
517,1.3,1.29899,1.44224,0
518,1.3,1.29904,1.44077,0
519,1.3,1.29909,1.4393,0
520,1.3,1.29913,1.43784,0
521,1.3,1.29918,1.43638,0
522,1.3,1.29922,1.43493,0
523,1.3,1.29925,1.43348,0
524,1.3,1.29929,1.43204,0
525,1.3,1.29932,1.4306,0
526,1.3,1.29936,1.42917,0
527,1.3,1.29939,1.42774,0
528,1.3,1.29942,1.42632,0
529,1.3,1.29945,1.4249,0
530,1.3,1.29947,1.42348,0
531,1.3,1.2995,1.42207,0
532,1.3,1.29952,1.42067,0
533,1.3,1.29955,1.41927,0
534,1.3,1.29957,1.41787,0
535,1.3,1.29959,1.41648,0
536,1.3,1.29961,1.4151,0
537,1.3,1.29963,1.41372,0
538,1.3,1.29965,1.41234,0
539,1.3,1.29966,1.41097,0
540,1.3,1.29968,1.4096,0
541,1.3,1.2997,1.40824,0
542,1.3,1.29971,1.40688,0
543,1.3,1.29973,1.40552,0
